Year,Scope,County_GEOID,County_Name,Elev_Band,Elev_Min_m,Elev_Max_m,Population,Pct_of_State,WorldPop_Source
2013,County,12063,Jackson,25-50 m,25,50.0,41736,0.21,WorldPop_PPP_Unconstrained_v2
2013,County,12063,Jackson,50+ m,50,112.47,7802,0.04,WorldPop_PPP_Unconstrained_v2
2013,County,12065,Jefferson,0-1 m,0,1.0,1,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12065,Jefferson,1-2 m,1,2.0,1,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12065,Jefferson,2-5 m,2,5.0,1,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12065,Jefferson,5-10 m,5,10.0,111,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12065,Jefferson,10-25 m,10,25.0,1778,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12065,Jefferson,25-50 m,25,50.0,6544,0.03,WorldPop_PPP_Unconstrained_v2
2013,County,12065,Jefferson,50+ m,50,112.47,6920,0.04,WorldPop_PPP_Unconstrained_v2
2013,County,12067,Lafayette,2-5 m,2,5.0,51,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12067,Lafayette,5-10 m,5,10.0,400,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12067,Lafayette,10-25 m,10,25.0,6575,0.03,WorldPop_PPP_Unconstrained_v2
2013,County,12067,Lafayette,25-50 m,25,50.0,2482,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12069,Lake,0-1 m,0,1.0,880,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12069,Lake,1-2 m,1,2.0,239,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12069,Lake,2-5 m,2,5.0,653,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12069,Lake,5-10 m,5,10.0,1022,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12069,Lake,10-25 m,10,25.0,100867,0.51,WorldPop_PPP_Unconstrained_v2
2013,County,12069,Lake,25-50 m,25,50.0,194663,0.99,WorldPop_PPP_Unconstrained_v2
